REF_AREA,TIME_PERIOD,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,war_nextYear
AFG,1963,10.008763407810974,-0.13723404416562374,-5.264694924426426,9.056139596184483,-1.7312851243486507,-0.7187075884707801,2.669927487072273,-4.129525362979203,-1.4643922075326559,-1.8159112868175478,1.6436988658116276,2.001215226382296,-0.343627561923107,0.38740947665780295,1.0801253251467455,0.7977998083257805,0
AFG,1964,10.04585089269774,-0.13095727941758914,-5.181239865909088,8.824500242246732,-1.7261219806425137,-0.6840297717672542,2.589870587942287,-4.012600080273822,-1.4169325843578628,-1.6876105908058998,1.6148990992742296,1.9150813992312345,-0.2724203545670186,0.38117039357410154,1.0482409479845782,0.7619391992735314,0
AFG,1965,10.104819038132817,-0.12433738543468292,-5.116515793787425,8.5899993452319,-1.7503148697958666,-0.6533101797631109,2.5253056633206845,-3.8803906872905745,-1.384359862970175,-1.5419344536812811,1.5651704519047287,1.837524306510407,-0.19984271676978452,0.3701220861477863,0.9973713255408948,0.7252200226087431,0
AFG,1966,10.18366822718457,-0.11711406134978879,-5.065922695272396,8.340038316140227,-1.7872903016098873,-0.6265616310936879,2.466828114906235,-3.734728549740175,-1.3739473078786888,-1.4060857603662806,1.4919325664937766,1.76012542702063,-0.12299517830702589,0.3514387352102444,0.9301393167531287,0.6709779601529405,0
AFG,1967,10.275953231267003,-0.10976198877742041,-5.022309098514083,8.072916124079281,-1.8335555324879929,-0.6019421004986194,2.415183589668015,-3.578286139619144,-1.3691034604265038,-1.270407753196135,1.4144748789244554,1.695336740503005,-0.05579459044299225,0.3331212754023774,0.8434550428670005,0.5966649945897757,0
AFG,1968,10.379459352715347,-0.10161026746730717,-4.985217116822879,7.791976280978931,-1.8879930272748717,-0.5782905926421326,2.356851390125156,-3.4100748656602695,-1.3753505923065197,-1.1440271599190972,1.3323854192851867,1.6408562312518737,0.004656758403684837,0.31557129154459973,0.7418886156646485,0.513868305985926,0
AFG,1969,10.486814596865903,-0.09304654525709008,-4.951944990836719,7.498979188160917,-1.945986187967381,-0.5537535341940008,2.278568860037928,-3.232411950445795,-1.3902226905207553,-1.0365396903548494,1.2499110666209683,1.5978828102389726,0.048289595677190614,0.3000899803586571,0.6279745316897342,0.4268088191419381,0
AFG,1970,10.590521074553513,-0.08350752748654904,-4.904517116412077,7.175116871362193,-1.9853735487054944,-0.5264840164772285,2.1995658092510197,-3.0554858576515955,-1.3807948568985917,-0.942747454296669,1.1969607524340167,1.5516450478977974,0.0810580046517155,0.2975321523110322,0.5118259505836527,0.31283949989716847,0
AFG,1971,10.697083444793483,-0.07288688786634462,-4.862481951831168,6.840666355325579,-2.0256607121412347,-0.4999171958040443,2.085853777535753,-2.8691726301140776,-1.3946638429616107,-0.8941915341459763,1.1214890830037827,1.4962137990607154,0.10171752616063874,0.29124257577426094,0.40142872827204723,0.19359752302723443,0
AFG,1972,10.798267350420115,-0.06058675677550345,-4.819454472323078,6.496992261340876,-2.070110306616862,-0.4709286912884875,1.9550441617350707,-2.680401932826144,-1.4005387531595137,-0.8531155609677721,1.0673941953969046,1.4694120381833202,0.09419129212729796,0.29468960490784485,0.2791827244337031,0.08542101654019577,0
AFG,1973,10.899316084926639,-0.04715449328195361,-4.770121448365374,6.142014770714834,-2.1157627963091286,-0.4408893698243182,1.8187298116879884,-2.496909116541566,-1.3964025505124384,-0.8090362102466375,1.0257257475852326,1.4388213891001704,0.0823666012067955,0.30365411617335347,0.16737762337987497,0.010111705370626787,0
AFG,1974,11.006760624295556,-0.03384188556427752,-4.740073276059747,5.796048784711151,-2.178842592878455,-0.41257894991825705,1.6337403341404,-2.3327404317904206,-1.416124334806698,-0.7786029294000573,0.961806856362418,1.413590159076045,0.06756188462981079,0.29285954940571707,0.08932130634520626,-0.0043614641087352584,1
AFG,1975,11.11152372211968,-0.019087642362310482,-4.700170398909536,5.4370377843234206,-2.2110444279599535,-0.38427299181456825,1.4351417095267962,-2.1996312065257433,-1.444596893707451,-0.778383557457706,0.8933247945115377,1.3771306166030013,0.05879190862239576,0.27904659401804477,0.04110625053164773,-0.036777189162823916,1
AFG,1976,11.219058076231784,-0.0023936100742281696,-4.656421397043568,5.069370753563278,-2.1878090336117197,-0.35482361979880633,1.2014890601048458,-2.1085365482573875,-1.525035143688901,-0.8861513973765642,0.7611416073872432,1.2869727040029304,0.07441397730707393,0.2508033944013252,0.028422440395649205,-0.09608553767867406,1
AFG,1977,11.321805640627911,0.014592765081046264,-4.609830022718754,4.693224363746203,-2.129438977724063,-0.31912238630516054,0.9620333183911628,-2.0593164268632265,-1.6007301184491727,-1.0322540130442568,0.6369325446561005,1.199906430454522,0.0820164427330348,0.22933798658154048,0.007658376579874755,-0.1363416571886917,1
